Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
18735,4-2018,29,3002,926,2093
18735,3-2018,31,3152,968,2197
18735,2-2018,27,2618,896,1825
18735,1-2018,31,3075,996,2143
18735,12-2017,31,3039,1101,2119
18735,11-2017,30,2992,1110,2085
18737,4-2018,30,672,178,455
18737,3-2018,31,729,238,494
18737,2-2018,28,780,261,528
18737,1-2018,31,718,223,486
18737,12-2017,25,364,68,246
18737,11-2017,24,639,222,432
18794,4-2018,30,3928,1589,3938
18794,3-2018,31,3944,1538,3618
18794,2-2018,28,3382,1266,2763
18794,1-2018,31,3137,1205,2562
18794,12-2017,31,2904,1083,2373
18794,11-2017,30,2901,986,2369
19404,5-2018,31,586,273,693
19404,4-2018,30,721,278,1016
19404,3-2018,31,1547,490,2268
19404,2-2018,28,1404,431,1581
19404,1-2018,31,1549,446,1778
19404,12-2017,31,1489,359,2000
19515,4-2018,30,879,251,700
